Name,Address,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Hosoonyi Korean Restaurant,"23830 Hwy 99, Ste 114, Edmonds, WA 98026","['11:00 AM - 10:00 PM', '']","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Szechuan Cuisine,"23202 57th Ave W, Ste 4627, Mountlake Terrace, WA 98043","['11:00 AM - 9:00 PM', '']","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Yum Yum Thai,"900 N 160th St, Shoreline, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']"
No.9 Alley Hot Pot,"930 N 130th St, Seattle, WA 98133","['12:00 PM - 9:30 PM', '']","['12:00 PM - 9:30 PM', '']","['12:00 PM - 9:30 PM', '']","['12:00 PM - 9:30 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:30 PM', '']"
Casa Oaxaca,"8402 Bowdoin Way, Edmonds, WA 98020","['Closed', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['Closed', '']"
Maize & Barley,"525 Main St, Edmonds, WA 98020","['Closed', '']","['Closed', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
The Everest Kitchen,"17171 Bothell Way NE, Ste A-016, Lake Forest Park, WA 98155","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']"
Gabriel's Fire,"5803 244th St SW, Mountlake Terrace, WA 98043","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
Qin Xi'an Noodles,"22315 Hwy 99, Ste H, Edmonds, WA 98026","['10:30 AM - 10:00 PM', '']","['Closed', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']"
Toyoda Sushi,"12543 Lake City Way NE, Seattle, WA 98125","['Closed', '']","['Closed', '']","['Closed', '']","['5:15 PM - 7:45 PM', '']","['5:15 PM - 7:45 PM', '']","['5:15 PM - 7:45 PM', '']","['5:15 PM - 7:45 PM', '']"
Le's Pho Tai and Sandwiches,"15210 Aurora Ave N, Shoreline, WA 98133","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:00 PM', '']"
Daphnes,"415 1/2 Main St, Edmonds, WA 98020","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']"
The Maple,"8929 Roosevelt Way NE, Seattle, WA 98115","['Closed', '']","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['12:00 PM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 9:00 PM', '']"
Anthony's Beach Cafe,"456 Admiral Way, Edmonds, WA 98020","['Closed', '']","['Closed', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']"
Cafe Aroma,"509 NE 165th St, Shoreline, WA 98155","['5:30 AM - 6:00 PM', '']","['5:30 AM - 6:00 PM', '']","['5:30 AM - 6:00 PM', '']","['5:30 AM - 6:00 PM', '']","['5:30 AM - 6:00 PM', '']","['6:00 AM - 6:00 PM', '']","['7:00 AM - 6:00 PM', '']"
Flintcreek Cattle,"8421 Greenwood Ave N, Seattle, WA 98103","['Closed', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']"
Fil-Am Oriental Food & Gifts,"15214 Aurora Ave N, Shoreline, WA 98133","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['Closed', '']"
Valhalla Sandwiches,"8202 Greenwood Ave N, Seattle, WA 98103","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 4:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 3:00 PM', '']","['Closed', '']"
Seatango Foods,"12728 Lake City Way NE, Seattle, WA 98125","['Closed', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 7:00 PM', '']","['10:00 AM - 7:00 PM', '']","['Closed', '']"
Jersey's Great Food & Spirits,"1125 N 152nd St, Shoreline, WA 98133","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['9:00 AM - 10:00 PM', '']"
Seatango Foods,"12728 Lake City Way NE, Seattle, WA 98125","['Closed', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 4:00 PM', '']","['8:00 AM - 7:00 PM', '']","['10:00 AM - 7:00 PM', '']","['Closed', '']"
Stars In the Sky,"23830 Hwy 99, Ste 121, Edmonds, WA 98026","['Closed', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 11:00 PM', '']","['5:00 PM - 11:00 PM', '']","['5:00 PM - 10:00 PM', '']"
Traditional Korean Beef Soup,"22929 Hwy 99, Edmonds, WA 98026","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']"
Fork Mediterranean Grill,"21919 66th Ave W, Ste G, Mountlake Terrace, WA 98043","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['12:00 PM - 8:00 PM', '']"
Saffron Grill,"2132 N Northgate Way, Seattle, WA 98133","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:15 PM', '']","['11:00 AM - 10:15 PM', '']","['11:00 AM - 10:00 PM', '']"
Babsarang Restaurant,"22618 Hwy 99, Ste 115, Boo Han Market, Edmonds, WA 98026","['Closed', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 6:00 PM', '']"
Don Lucho's Restaurant & Pisco Bar,"7919 Roosevelt Ave NE, Seattle, WA 98115","['Closed', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Mediterranean Oasis,"15238 Aurora Ave N, Shoreline, WA 98133","['10:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']","['10:00 AM - 10:00 PM', '']"
El Parche Colombiano Restaurant,"11740 15th Ave NE, Seattle, WA 98125","['Closed', '']","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Lee's Grill 'n Bento,"20030 Ballinger Way NE, Shoreline, WA 98155","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
Alibertos,"5602 232nd St SW, Ste 101, Mountlake Terrace, WA 98043","['9:30 AM - 9:00 PM', '']","['9:30 AM - 9:00 PM', '']","['9:30 AM - 9:00 PM', '']","['9:30 AM - 9:00 PM', '']","['9:30 AM - 9:00 PM', '']","['9:30 AM - 9:00 PM', '']","['9:30 AM - 9:00 PM', '']"
El Parche Colombiano Restaurant,"11740 15th Ave NE, Seattle, WA 98125","['Closed', '']","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Lee's Grill 'n Bento,"20030 Ballinger Way NE, Shoreline, WA 98155","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
iSandwiches & Teriyaki,"14705 Aurora Ave N, Shoreline, WA 98133","['10:00 AM - 7:00 PM', '']","['10:00 AM - 7:00 PM', '']","['10:00 AM - 7:00 PM', '']","['10:00 AM - 7:00 PM', '']","['10:00 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['Closed', '']"
Issaya Thai Cuisine,"1441 NW Richmond Beach Rd, Shoreline, WA 98177","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']"
The Guest House,"6810 NE 153rd Pl, Kenmore, WA 98028","['Closed', '']","['Closed', '']","['4:00 PM - 8:00 PM', '']","['4:00 PM - 8:00 PM', '']","['4:00 PM - 8:00 PM', '']","['4:00 PM - 8:00 PM', '']","['Closed', '']"
Loxicha Authentic Oaxaca Cuisine,"11552 15th Ave NE, Seattle, WA 98125","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['12:00 PM - 7:00 PM', '']"
Soprano's Pizza & Pasta,"11754 15th Ave NE, Seattle, WA 98125","['4:00 PM - 11:30 PM', '']","['Closed', '']","['4:00 PM - 11:30 PM', '']","['4:00 PM - 11:30 PM', '']","['4:00 PM - 1:30 AM (Next day)', '']","['4:00 PM - 1:30 AM (Next day)', '']","['11:00 AM - 11:30 PM', '']"
2C Thai Bistro & Spirits,"12506 Lake City Way NE, Seattle, WA 98125","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['4:30 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['12:00 PM - 8:30 PM', '']","['12:00 PM - 8:30 PM', '']"
Wow Bao,"825 NE Northgate Way, Seattle, WA 98125","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['6:00 PM - 2:00 AM (Next day)', '']","['6:00 PM - 2:00 AM (Next day)', '']","['6:00 PM - 2:00 AM (Next day)', '']","['6:00 PM - 2:00 AM (Next day)', '']","['6:00 PM - 2:00 AM (Next day)', '']"
Sahm Gook Jih Palace,"21619 Hwy 99, Ste J, Lynnwood, WA 98036","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Issaya Thai Cuisine,"1441 NW Richmond Beach Rd, Shoreline, WA 98177","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']"
Shi Qu Restaurant,"22315 Hwy 99, Ste L, Edmonds, WA 98026","['Closed', '']","['2:30 PM - 11:30 PM', '']","['2:30 PM - 11:30 PM', '']","['2:30 PM - 11:30 PM', '']","['2:30 PM - 11:30 PM', '']","['2:30 PM - 11:30 PM', '']","['2:30 PM - 11:30 PM', '']"
Ivar's Seafood Bar,"13448 Aurora Ave N, Seattle, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Scott's Bar & Grill,"8115 Lake Ballinger Way, Edmonds, WA 98026","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:00 PM', '']"
Caroline Tavern,"13702 15th Ave NE, Seattle, WA 98125","['8:00 AM - 2:00 AM (Next day)', '']","['8:00 AM - 2:00 AM (Next day)', '']","['8:00 AM - 2:00 AM (Next day)', '']","['8:00 AM - 2:00 AM (Next day)', '']","['8:00 AM - 2:00 AM (Next day)', '']","['8:00 AM - 2:00 AM (Next day)', '']","['8:00 AM - 2:00 AM (Next day)', '']"
2C Thai Bistro & Spirits,"12506 Lake City Way NE, Seattle, WA 98125","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['4:30 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['11:00 AM - 3:00 PM, 4:00 PM - 8:30 PM', '']","['12:00 PM - 8:30 PM', '']","['12:00 PM - 8:30 PM', '']"
Leftcraft,"519 Main St, Edmonds, WA 98020","['Closed', '']","['Closed', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 8:00 PM', '']"
Gainsbourg,"8550 Greenwood Ave N, Seattle, WA 98103","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']"
The Habit Burger Grill,"1253 N 205th St, Shoreline, WA 98133","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']"
Sunny Hill,"3127 NW 85th St, Seattle, WA 98117","['Closed', '']","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 8:00 PM', '']"
Jebena Cafe,"1510 NE 117th St, Seattle, WA 98125","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['Closed', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
Green Tree,"8576 Greenwood Ave N, Seattle, WA 98103","['11:00 AM - 11:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Man'oushe Express,"13721 Lake City Way NE, Level A, Seattle, WA 98125","['Closed', '']","['9:30 AM - 8:00 PM', '']","['9:30 AM - 8:00 PM', '']","['9:30 AM - 8:00 PM', '']","['9:30 AM - 8:00 PM', '']","['9:30 AM - 8:00 PM', '']","['9:30 AM - 7:00 PM', '']"
Asian Pho,"23830 Hwy 99, Edmonds, WA 98026","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Famous Dave's Bar-B-Que,"401 NE Northgate Way, Ste 1106, Seattle, WA 98125","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Yummy Teriyaki & Fried Chicken,"9808 Edmonds Way, Edmonds, WA 98020","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['Closed', '']"
Katsu Burger,"22618 WA-99, Ste 110, Edmonds, WA 98026","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']"
Casa Del Mariachi,"12327 Roosevelt Way NE, Seattle, WA 98125","['Closed', '']","['10:00 AM - 8:30 PM', '']","['10:00 AM - 8:30 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 8:00 PM', '']"
Nori Presto,"12354 15th Ave NE, Seattle, WA 98125","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
Buerjia Chinese Sauerkraut Fish,"13200 Aurora Ave N, Seattle, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Anita's Mexican Food,"12245 Aurora Ave N, Seattle, WA 98133","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['Closed', '']"
Buerjia Chinese Sauerkraut Fish,"13200 Aurora Ave N, Seattle, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
The Thirsty Fish,"9041 Holman Rd NW, Seattle, WA 98117","['4:00 PM - 2:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['4:00 PM - 2:00 AM (Next day)', '']","['10:00 AM - 2:00 AM (Next day)', '']","['10:00 AM - 2:00 AM (Next day)', '']"
Dong Ting Chun,"22001 WA-99, Ste 400, Edmonds, WA 98026","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']"
Savvy Thai Cuisine,"22611 76th Ave W, Ste 103, Edmonds, WA 98026","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:00 PM', '']"
Katsu Burger,"22618 WA-99, Ste 110, Edmonds, WA 98026","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']"
Old Village,"15200 Aurora Ave N, Ste D, Seattle, WA 98133","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Q Sushi Bar & Kitchen,"20101 44th Ave W, Ste E, Lynnwood, WA 98036","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['Closed', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']","['11:30 AM - 2:30 PM, 4:00 PM - 9:00 PM', '']"
Fu Shen,"9019 Aurora Ave N, Seattle, WA 98103","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['Closed', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Siam Bistro,"12534 Aurora Ave N, Seattle, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['Closed', '']"
Mekong Village,"12020 Aurora Ave N, Seattle, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']"
Boiling Fish,"22511 Hwy 99, Ste 101, Edmonds, WA 98026","['Closed', '']","['11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 2:30 PM, 4:00 PM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:00 PM', '']"
Savvy Thai Cuisine,"22611 76th Ave W, Ste 103, Edmonds, WA 98026","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:00 PM', '']"
Happy Lemon,"22001 Hwy 99 Foyer, Edmonds, WA 98026","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']","['11:30 AM - 9:30 PM', '']"
Dojo Togo,"6th Ave S, Edmonds, WA 98020","['Closed', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['Closed', '']"
O Maki Rolls & Teriyaki,"8530 Palatine Ave N, Seattle, WA 98103","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']"
Alibi Room,"10406 Holman Rd N, Seattle, WA 98133","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 12:00 AM (Next day)', '']","['4:00 PM - 10:00 PM', '']"
Kona Kitchen - Lynnwood,"3805 196th St SW, Lynnwood, WA 98036","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']"
Kuan & Zhai Alley,"14409 Greenwood Ave N, Seattle, WA 98133","['Closed', '']","['Closed', '']","['11:00 AM - 8:15 PM', '']","['11:00 AM - 8:15 PM', '']","['11:00 AM - 8:15 PM', '']","['11:00 AM - 8:15 PM', '']","['12:00 PM - 8:15 PM', '']"
Man vs Fries,"825 NE Northgate Way, Seattle, WA 98125","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']","['11:00 AM - 2:00 AM (Next day)', '']"
Siam Bistro,"12534 Aurora Ave N, Seattle, WA 98133","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['Closed', '']"
